OID_,OID1,rgi_id,area_km2,termlon,termlat,lake_term,image_id,image_date
0,,RGI2000-v7.0-G-15-12441,0.240255256927000,96.449649834100001,29.874556576000000,0,LE07_L1TP_134039_20000716_20200917_02_T1,7/16/2000 0:00:00
1,,RGI2000-v7.0-G-15-12617,0.030364901061000,96.512577202900005,29.850345911800002,0,LE07_L1TP_134039_20000716_20200917_02_T1,7/16/2000 0:00:00
2,,RGI2000-v7.0-G-15-12745,0.025221214679300,96.763152847800001,29.763203415700001,0,LE07_L1TP_134039_20000716_20200917_02_T1,7/16/2000 0:00:00
3,,RGI2000-v7.0-G-15-12746,0.040904714838800,96.766569876999995,29.763653478100000,0,LE07_L1TP_134039_20000716_20200917_02_T1,7/16/2000 0:00:00
4,,RGI2000-v7.0-G-15-12747,0.222618516133000,96.770358505700003,29.764416235100001,0,LE07_L1TP_134039_20000716_20200917_02_T1,7/16/2000 0:00:00
5,,RGI2000-v7.0-G-15-12748,0.151881528872000,96.780964481300003,29.756193316400001,0,LE07_L1TP_134039_20000716_20200917_02_T1,7/16/2000 0:00:00
6,,RGI2000-v7.0-G-15-12749,0.338401088547000,96.786317670499997,29.747165999100002,3,LE07_L1TP_134039_20000716_20200917_02_T1,7/16/2000 0:00:00
7,,RGI2000-v7.0-G-15-12750,0.072952427508800,96.780302998500005,29.745251031500000,0,LE07_L1TP_134039_20000716_20200917_02_T1,7/16/2000 0:00:00
8,,RGI2000-v7.0-G-15-12751,0.124821268300000,96.773525711199994,29.749551169800000,0,LE07_L1TP_134039_20000716_20200917_02_T1,7/16/2000 0:00:00
9,,RGI2000-v7.0-G-15-12752,0.021692414620700,96.771513506199994,29.747596880100001,0,LE07_L1TP_134039_20000716_20200917_02_T1,7/16/2000 0:00:00
10,,RGI2000-v7.0-G-15-12753,0.025681699882200,96.775588255900004,29.737504642400001,0,LE07_L1TP_134039_20000716_20200917_02_T1,7/16/2000 0:00:00
